HANDLE,COLUMN
santa-ana-christmas-endcaps-2010,"Take a tour of the Winter Wonderland created by our Santa Christmas endcaps.  There are a variety of themes and looks created to help inspire your creativity from visions to actual displays.  See our use of christmas pine garland, christmas pine wreaths, animal prints, and many different color schemes.



[nggallery id=12] "
san-diego-christmas-show-2010,"If you missed the 2010 San Diego Christmas Show, here are some pictures taken from it.  The featured designer was Noel Tribbey, AIFD and he put on quite a show.  In addition to Christmas themed arrangments and vignettes, he also built Fall, Thanksgiving, and Halloween themed designs.  Take a look and enjoy!



[nggallery id=14] "
santa-ana-christmas-show-2010,"If you missed out on attending the 2010 Santa Ana Christmas Show, here is a chance to see the many creations that were produced.  Featured designers were Matt Wood, AIFD and Del Langdale.  Take a look at their creations that ranged from Christmas wreaths, Fall centerpieces, and more.



[nggallery id=15] "
around-the-warehouse-san-diego-christmas-2010,"First time Shinoda Design Center shopper?  Never been to our San Diego Warehouse?  Here is your chance to take a look at pictures from around the San Diego warehouse during Christmas 2010.  Take a tour or get some design ideas from our many endcaps and displays.



[nggallery id=16] "
around-the-warehouse-santa-ana-christmas-2010,"If you haven't been into the Santa Ana warehouse since it's 2008 move, then you have no idea just how much you are missing out on!  The new Santa Ana warehouse features 135,000 square feet of pure decoration heaven.  Here are some pictures taken during the Christmas 2010 season.



[nggallery id=17] "
christmas-trees-2010,"All of our customers know that walking our warehouses is the best way to get inspired and start your creative juices flowing.  If you are looking for some Christmas inspiration and ideas for a new look to your Christmas tree this year, look no further.  Take a cyber walk around our store and see some of our Christmas tree display ideas.



[nggallery id=18] "
santa-ana-spring-endcaps-2011,"Haven't made it into the Santa Ana warehouse this Spring yet?  Want to see all of our new endcaps?  Here they are to inspire and help those creative juices to start flowing.  Check out the latest additions to our merchandise lines in brand new vignettes.  If this isn't enough, check out our other galleries to see more pictures!



[nggallery id=19] "
santa-ana-spring-show-2011,"Dimas Hern and Marisa Perring, AIFD put on quite a show at the 2011 Santa Ana Spring show.  Dimas Hern is a highly renowned event producer.  From the event flowers, to full event staging and prop placement, Dimas can do it all.



Marisa Perring, AIFD is a renowned floral competitor having won the California State Floral Association's statewide contest.  Take a look at the pictures and you'll see why both designers have such critical acclaim.



[nggallery id=20] "
san-diego-spring-wedding-show-2011,"After a seven year hiatus, the Spring - Wedding Show was brought back to San Diego.  Featured designer Anthony Alvarez, AIFD assisted by his wife Debbie Kimura-Alvarez, AIFD, put on an excellent show for the crowd.  We had overwhelmingly positive feedback such that the Alvarez's will now be designing at the Santa Ana Christmas show on September 11, 2011.



[nggallery id=21] "
santa-ana-wedding-show-2011,"Brad Schmidt, AIFD and the world renowned Michi Burrell, AIFD put on an incredible show at the Santa Ana warehouse's 2011 Wedding Show.  It was a packed audience that watched as they bantered back and forth and create some stunning pieces.  If you didn't have a chance to come to the show, the pictures will show you what you missed!



[nggallery id=22] "
around-the-warehouse-santa-ana-spring-2011,"Wondering what kind of merchandise we have brought in for Spring 2011?  What do our visual displays look like?  Take a look at our gallery of pictures taken around the warehouse to see what we've done in our ""Spring Cleaning"" this year.  Keep checking back as we will continue to add pictures all season.



[nggallery id=23] "
white-silk-flowers-in-store-coupon-for-52311-52811,"Great coupon this week: 25% off our white silk flower stems.  White silks come in handy for any event or setting and are essential for any summer wedding you may be planning.  So now's the time to come in and stock up.  Here's a sample of some of our selection, taken by Tom as usual (although I'm not sure where he took this one).



[caption id="""" align=""aligncenter"" width=""700"" caption=""Where did Tom take this picture?""]<a href=""http://www.shinodadesigncenter.net/images/promos/2011/May/White-Silk-Flowers-Shinoda-Design-Center.jpg""><img title=""White Silk Flowers at Shinoda Design Center"" src=""http://www.shinodadesigncenter.net/images/promos/2011/May/White-Silk-Flowers-Shinoda-Design-Center.jpg"" alt=""White Silk Flowers at Shinoda Design Center"" width=""700"" height=""467"" /></a>[/caption]



I'm colorblind, so I'm probably the last person you should be taking color-based design advice from (or letting design the color scheme for your website for that matter).  As such, I've always gravitated towards blacks and whites.  It's always striking and always simple.



This week, we'll provide the white.  Click the picture below for a printable version of the coupon.  Print it out and bring it in for 25% off the each price of any of our white silk flower stems (sorry, no potted silk flowers or pre-made custom arrangements).  Hope to see you around the store!



-Chris



[caption id="""" align=""aligncenter"" width=""792"" caption=""Don&#39;t forget to print me out and bring me with you!""]<a href=""http://www.shinodadesigncenter.net/images/promos/2011/May/White-Silk-Flower-Stems-25-off-Shinoda-Design-Center.pdf""><img title=""White Silk Flowers Stems are 25% off at Shinoda Design Center this week"" src=""http://www.shinodadesigncenter.net/images/promos/2011/May/White-Silk-Flower-Stems-25-off-Shinoda-Design-Center.jpg"" alt=""White Silk Flower Stems discount"" width=""792"" height=""684"" /></a>[/caption] "
whats-new-on-the-site,"Hi Everyone!



I wanted to take a break from ... well, breaking things on the web page to tell you about what's new.  We've finally gotten things going pretty smoothly now, so we can start adding cool features, which is really nice.  But all of this craziness has given me a real appreciation for the kinds of torment you guys deal with on a daily basis.  When you're creating something that other people are going to see, use, appreciate, etc., you always want to do your best.  Sometimes, on the way to doing your best, you take a few wrong turns (like deleting ALL of your webpages like I did 2 Fridays ago).  For you, maybe you realize you accidentally bought the wrong flowers, used the wrong colors, or just misunderstood what your client asked for.  Your stomach drops, your heart sinks, and you generally feel pretty lousy.  As bad as that feels, it feels just as good when you work hard and make it right.  So if you see me around the store and want to commiserate about projects gone wrong, I'd love to hear.



Back to the real reason for this post.  I just wanted to talk about some of the new features on the site.  I'd like to make this a regular feature so you can make the most of our new page.  If you have any suggestions for features you'd like to see, please leave a comment!

<ul>

	<li>James spent a few afternoons transferring all of our picture galleries over.  I can't explain to you how mind-numbingly difficult that was.  A few times I looked over at him just to make sure he hadn't fallen asleep.  For each picture you see up there, James looked at it, wrote a description, wrote a title, and gave it a nice name.  Not bad when you do one picture, and it's OK if you just do one gallery.  He was doing about 3-4 a day for a few days, with a total of 15 galleries.  You can see all of his hard work at our <a href=""http://www.shinodadesigncenter.net/tag/gallery/"">Shinoda Design Center Gallery</a> page. Thanks James!</li>

[caption id=""attachment_578"" align=""aligncenter"" width=""300"" caption=""Thanks, James!""]<a href=""http://www.shinodadesigncenter.net/tag/gallery""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Shinoda-Design-Center-Galleries-300x141.jpg"" alt=""Shinoda Design Center Galleries"" title=""Shinoda Design Center Galleries"" width=""300"" height=""141"" class=""size-medium wp-image-578"" /></a>[/caption]





<li>I just have to say, 'my bad' about the first week or so of registrations.  I thought one thing, and the website clearly thought another.  After receiving a ton of e-mails expressing confusion about the registration process, I realized that I must not have explained things very well, and also I had assumed something about the login process that wasn't true.  We've now added a couple sections to the <a href=""http://www.shinodadesigncenter.net/faq"">FAQ</a> that better explain the registration and activation process.  If you have questions about getting your account activated, check the FAQ first, and if you can't find a satisfactory answer, <a href=""http://www.shinodadesigncenter.net/contact"">contact us</a> and we'll help you out.</li>

[caption id=""attachment_575"" align=""aligncenter"" width=""606"" caption=""Sorry!""]<a href=""http://www.shinodadesigncenter.net/faq#accountactivation""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Shinoda-Design-Center-FAQ-Activation.jpg"" alt=""Shinoda Design Center FAQ Activation"" title=""Shinoda Design Center FAQ Activation"" width=""606"" height=""211"" class=""size-full wp-image-575"" /></a>[/caption]

	<li>Our <a href=""http://www.shinodadesigncenter.net/search/vase"">search feature</a> has been greatly improved.  Results should be sorted by relevance now, along with the matching categories that were displayed before.  In addition, you can search for any result by entering http://www.shinodadesigncenter.net/search/your-item/.  If you have a multi-word search, use a - to separate the words like I just did.  So if you want to see anything that matches the word, 'vase', <a href=""http://www.shinodadesigncenter.net/search/vase"">http://www.shinodadesigncenter.net/search/vase</a>.  White vases? <a href=""http://www.shinodadesigncenter.net/search/white-vase/"">http://www.shinodadesigncenter.net/search/white-vase/</a>.  Of course you can always use the search bar on any page as well.  If you're having trouble finding your item in search, you can try a couple things.  Always search for singular search words instead of plurals, like white vase instead of white vases.  If you know a UPC number for your product, you can enter that in the search bar as well and you should be taken right to what you're looking for.  The last tip is to be less specific if you're having trouble.  So if 'white vase' isn't working, try 'vase' and see if you can find any white ones (by the way, I keep using 'vase' as an example because it's the most searched for term on the site).</li>

[caption id=""attachment_576"" align=""aligncenter"" width=""267"" caption=""Search: Now with working magnifying glass!""]<a href=""http://www.shinodadesigncenter.net/search/vase""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Shinoda-Design-Center-Search.jpg"" alt=""Shinoda Design Center Search"" title=""Shinoda Design Center Search"" width=""267"" height=""39"" class=""size-full wp-image-576"" /></a>[/caption]</ul>



We have a couple other smaller upgrades, like the return of our <a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/themes/sdc-theme/sdc-zoom.php?pid=2762"">product zoom</a>, a link to our weekly promo at the top, and some controls on the front page rotating image.  You can also see all of our new products on the <a href=""http://www.shinodadesigncenter.net/new"">new product page</a>.



Phew.  Hope you're enjoying the page, and like I said before, let us know if you have a suggestion for a feature you'd like to see added (or in the very highly unlikely situation that you find something that doesn't work, you can let us know about that too).  We want this to be a resource for you, so we'd like to hear from you on how to make it better.



See you around the store,

Chris







"
closed-memorial-day,"Just a reminder that we'll be closed on Memorial Day, May 30th.  Have a safe Memorial Day everyone!"
birds-bugs-butterflies,"This week, we're ushering in summer with some memorable signs of summer: birds, bugs, and butterflies.  I'm from Pennsylvania, and we knew it was summer when we'd see lightning bugs.  That and the temperature got to 100 degrees and 100% humidity.  But it was always very exciting to see the first lightning bugs and know that summer was here.  Moving out here was quite a different experience.  We discovered a hummingbird living in our backyard in the middle of January, which was a strange sight to see for an east coaster like myself.  

[caption id=""attachment_590"" align=""aligncenter"" width=""640"" caption=""Another meticulously staged masterpiece by Tom.  Thanks, Tom!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Birds-Butterflies-Bugs-Shinoda-Design-Center.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Birds-Butterflies-Bugs-Shinoda-Design-Center-1024x682.jpg"" alt=""Birds, Butterflies, Bugs at Shinoda Design Center"" title=""Birds, Butterflies, Bugs at Shinoda Design Center"" width=""640"" height=""426"" class=""size-large wp-image-590"" /></a>[/caption]



That picture gives you an idea of why we specifically mention 'butterflies' in our coupon.  Sure, they're also bugs, but we have a large selection of butterflies, so they merit some special attention.  In fact, our online store has an entire category devoted to them: <a href=""http://www.shinodadesigncenter.net/decor-display/birds-animals-insects/butterflies/"">Butterflies</a>.  We also have categories for <a href=""http://www.shinodadesigncenter.net/decor-display/birds-animals-insects/insects/"">bugs</a> and <a href=""http://www.shinodadesigncenter.net/decor-display/birds-animals-insects/birds/"">birds</a>.



The coupon can also be used on birdhouses, cages, and nests, and of course, we have our own category of those on the online store too: <a href=""http://www.shinodadesigncenter.net/decor-display/birds-animals-insects/birdhouses-nests/"">Birdhouses, cages, and nests</a>.  So click on the coupon below to view a printable copy, and don't forget to bring it with you when you come to the store!  You'll get 25% off of birds, bugs, butterflies, birdhouses, bird cages, and nests (not applicable to ribbon).  Thanks for shopping at Shinoda's!



-Chris

[caption id=""attachment_592"" align=""aligncenter"" width=""792"" caption=""Don&#039;t forget to print me out""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Birds-Butterflies-Bugs-25-off-Shinoda-Design-Center.pdf""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Birds-Butterflies-Bugs-25-off-Shinoda-Design-Center.jpg"" alt=""Birds, Butterflies, and Bugs 25% off this week at Shinoda Design Center"" title=""Birds, Butterflies, and Bugs 25% off this week at Shinoda Design Center"" width=""792"" height=""684"" class=""size-full wp-image-592"" /></a>[/caption]

"
silk-flower-stems-are-25-off-in-june,"Big sale this month on our silk flower stems.  Any day in June, come into the store to get 25% off all of our silk flower stems (excluding potted silk flowers and pre-made arrangements)!

[caption id=""attachment_597"" align=""aligncenter"" width=""640"" caption=""It&#039;s much easier to let the flowers do the talking""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Silk-Flower-Stems-Shinoda-Design-Center.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Silk-Flower-Stems-Shinoda-Design-Center-1024x682.jpg"" alt=""Wholesale Silk Flower Stems Shinoda Design Center"" title=""Wholesale Silk Flower Stems Shinoda Design Center"" width=""640"" height=""426"" class=""size-large wp-image-597"" /></a>[/caption]



It's time to stock up for summer.  Summer means weddings, reunions, weddings, barbecues, weddings, pool parties, and weddings.  Whether you're planning the event or providing the flowers, you'll need plenty.  You can plan ahead by checking out some of our selection on our website under the <a href=""http://www.shinodadesigncenter.net/silk-flower-stems/"">silk flower stems</a> category.



To celebrate this month of sales, we'll be writing about some of our stems.  So why are we telling you guys, some of whom work with flowers every day, <em>more</em> about flowers?  Well, the first reason is kind of selfish.  Unlike the Shinoda family, I'm not from the flower world.  Since I work at Shinoda Design Center, I really need to know my stems, and right now, I don't.  Sometimes when I'm walking the floor to think about something on the site, a customer will ask me a question about an event or want some flower advice.  Usually after saying something like, 'um' or 'uh' or desperately looking for one of our more knowledgeable employees, I ask for a minute to find someone who can help.  I'd really like to be more helpful in that situation.



Also, as someone who's worked a long time with computers, there's still a lot that I don't know.  Basically every day I learn something useful.  Sometimes I learn about a whole topic that I had never heard about before.  For the next 30 days, we'll be doing some digging to find out tidbits about some of our flowers that you may not have known.  Hopefully you can learn something new or be reminded of something you had forgotten.  Check in every day at our <a href=""/silk-flower-stem-of-the-day"">Silk Flower Stem of the day</a> for something new each day.



[caption id=""attachment_598"" align=""aligncenter"" width=""792"" caption=""You don&#039;t need to print this one out.  Just come in and shop!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Silk-Flower-Stems-25-off-June-Shinoda-Design-Center.pdf""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/06/Silk-Flower-Stems-25-off-June-Shinoda-Design-Center.jpg"" alt=""Silk Flower Stems are 25% off in June at Shinoda Design Center"" title=""Silk Flower Stems are 25% off in June at Shinoda Design Center"" width=""792"" height=""612"" class=""size-full wp-image-598"" /></a>[/caption] "
anemone-silk-flower-stem-of-the-day,"<div itemscope itemtype=""http://schema.org/Product"">

My first pick for flower of the day is the anemone.  Why?  Two reasons.  First, I've never heard of anemones, except the sea kind.  Since we don't sell any sea creatures here, anemone flowers must be something different (although the sea anemone is named after the flower anemone).  The other reason for researching anemones first is that I always used our anemone products to test the website.  Anemones were easy to click on from the store menu, so I ended up testing them frequently.  I figure I owe it to them for being helpful to me.



It's believed that the name <em>anemone</em> comes from Greek and means, 'daughter of the wind'.  In Greek mythology, anemones sprang from the blood of Adonis upon his death.  When he died, Aphrodite spread nectar over Adonis's blood, and voila, Anemone.  Leave it to mythology to give a morbid explanation for a beautiful flower.  Some doubt that anemone actually means daughter of the wind and contend that it's merely a corruption of the root of Adonis's Semitic name, Adonai.

[caption id="""" align=""aligncenter"" width=""600"" caption=""You can thank Adonis for these""]<a itemprop=""url"" href=""http://www.shinodadesigncenter.net/23-anemone-spray-x3-red/2760/""><img itemprop=""image"" alt=""Silk Flower Anemones at Shinoda Design Center"" src=""http://www.shinodadesigncenter.net/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/3/3/3384912118.jpg"" title=""Silk Flower Anemone wholesale flowers at Shinoda Design Center"" width=""600"" height=""600"" /></a>[/caption]



I'll leave that for someone else to figure out.  Whatever dispute exists over the name, we do know some things for sure.  There are approximately 120 varieties (or species) of the anemone genus, and you can find them in Europe, North America, and Japan.  Different species of anemones will flower in the spring, summer, and fall, and are most commonly shades of red, blue, or purple in color.  Wikipedia describes the coloring as 'crimson, scarlet, blue, purple and white,' which to a colorblind person means, 'red, blue, and white'.



I believe our anemones are the <em>Anemone coronaria</em> or 'poppy anemone'.  When reading about poppy anemones, I discovered yet another possible name origin.  This one seemed pretty convincing, so I'll fill you in.  The Sumerian god of food and vegetation was named Tammuz.  Why is that important?  Because it's generally believed that the Greeks adopted the story of Tammuz as the story of Adonis.  Tammuz was known to Phoenicians as 'Nea'man', and it's from that name where anemone originates.  Poppy anemones grow wild in some of the oldest parts of the civilized world, so I'll give the nod to the oldest story.



Phew.  That was a lot more Sumerian and Phoenician research than I thought I was going to do today.  Hope you enjoyed learning a little something more about anemones.  And thanks to <a href=""http://www.wikipedia.org"">wikipedia</a> for helping me learn about anemones.





-Chris



</div>"
peony-silk-flower-stem-of-the-day,"<div itemscope itemtype=""http://schema.org/Product"">

Today's Silk Flower Stem of the Day is the <a href=""/silk-flower-stems/peony/"">Peony</a>.  According to the John Henry Fresh Floral Fan Deck, fresh peonies are just about at the end of their availability, which goes from March to June (of course silk peonies are always in season :) ).



<a itemprop=""url"" href=""http://www.shinodadesigncenter.net/40-peony-spray-w-7lvs-white/1291/""><img itemprop=""image"" alt=""White Peony"" src=""/media/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/0/8/0856479725.jpg"" title=""White Peony"" class=""alignnone"" width=""265"" height=""265"" /><a href=""http://www.shinodadesigncenter.net/28-peony-x2-pink/1298/""></a><img alt=""Pink Peony"" src=""/media/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/0/8/0856479808.jpg"" title=""Pink Peony"" class=""alignnone"" width=""265"" height=""265"" /></a><a href=""http://www.shinodadesigncenter.net/29-single-peony-yellow/1363/""><img alt=""Yellow Peony"" src=""http://www.shinodadesigncenter.net/media/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/0/8/0856437340.jpg"" title=""Yellow Peony wholesale flowers at Shinoda Design Center"" class=""alignnone"" width=""265"" height=""265"" /></a>



As you can see from our stems above, peonies come in a variety of colors, namely white, pink, magenta, red, burgundy, peach, and yellow.  In addition to many colors, the peony can also convey many meanings.  It can suggest healing or good health and a happy life.  At the same time, it can also represent anger and indignation, which makes the peony a pretty conflicted flower if you ask me.  Peonies can also represent a happy marriage, and are associated with a 12th wedding anniversary.



We once again travel back to ancient Greece for the name of the peony.  Peonies are named after Paeon, who was a student of the Greek god of healing and medicine, Asclepius.  That inspires the associations with healing and good health.  Unfortunately for Paeon, he was not so lucky.  Asclepius became very jealous of him, and in a last ditch effort to save Paeon, Zeus turned him into a peony.  Good for us; not as good for Paeon.



So peonies have been at the source of conflict from the start.  One thing that is pretty easy to agree on is that the peony is a very beautiful flower, and works well by itself or with others.  They'd be a great addition to a wedding, and the bride would be delighted to know that it's a symbol of a happy marriage.



Just don't tell her the stuff about Paeon.



-Chris



<em>Thanks to John Henry for the floral fan deck, which provided the meanings of the peony, and their guide Fresh Flowers Volume 3, which provided some basic information.  Both are available at Shinoda Design Center, and are full of information about many varieties of flowers.

And thanks to wikipedia for some additional information about the name.  Wikipedia can be found on the internet at www.wikipedia.org.</em>

</div>

"
sunflower-silk-flower-stem-of-the-day,"<div itemscope itemtype=""http://schema.org/Product"">

Today's stem is one that I've always associated with summer and my mom's garden: the <a href=""/silk-flower-stems/sunflowers/"">sunflower</a>.  Each year, my mom would plant some sunflowers and give custody of one to me and one to my brother.  Naturally, this became a contest to see whose could grow taller, as most things between me and my brother became.  Every year at some point the sunflowers would become much taller than the two of us, so it would be hard to figure out who was winning, which spawned more arguing.  In my mom's defense, if she hadn't given us the sunflowers, we probably would have been arguing over something else, so at least this way the garden looked nice.



[caption id="""" align=""aligncenter"" width=""600"" caption=""Summertime means sunflowers ... and arguing about them""]<a itemprop=""url"" href=""/51-giant-sunflower-yellow/9100/""><img itemprop=""image"" alt=""Sunflowers at Shinoda Design Center"" src=""/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/4/3/4390191741.jpg"" title=""Sunflower wholesale flowers at Shinoda Design Center"" width=""600"" height=""600"" /></a>[/caption]



I didn't realize it until I read it in <em>Botanica</em>, but sunflowers are a genus of the <a href=""/silk-flower-stems/daisy/"">daisy</a> family.  The heads of daisies and sunflowers both have ray florets that extend outward and form the petals, and many disc florets, which comprise the middle.  It's the disc florets in the middle that grow to become the tasty seeds.  A floret is really just a small flower, so that means that sunflowers and daisies are composed of many flowers, which is why they're called <em>composite</em> flowers.



<em>Helianthus annuus</em>, the formal name for the common sunflower, is a member of the <em>helianthus</em> genus.  Helia, meaning sun, and anthus, meaning flower, gives us the name <em>sunflower</em>.  Sunflowers need a lot of sun, and young sunflowers will actually track the sun as it moves across the sky, hence the name.  Older sunflowers, more set in their ways, will just face east.  And no, there does not seem to be a Greek hero who died and made a sunflower, or who was transformed into a sunflower, or who was named Sunflower, or anything like that.  Sunflowers seem to have a pretty peaceful back story.



Unless you ask me and my brother.



-Chris



<em>Thanks to </em>Botanica<em> an illustrated guide to 10,000 garden plants, for information about common sunflowers and the helianthus genus.  Botanica can be found in the back offices of Shinoda Design Center, next to some unrelated books on horses and beauty products.

Thanks also to John Henry's Floral Fan Deck and wikipedia for additional information.  John Henry's Floral Fan Deck is on sale at Shinoda Design Center.  Wikipedia is not for sale, but can be found at www.wikipedia.org.</em>

</div>"
